community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:Lg+cZhvfxmP9GJkedFhQoyGiglw=,S0,,D,143.88.0.6,40511,199.7.83.42,53,false,false,0,,56,1,udp,,0,0,dns,1.749192677122718E9,CisbUC33gtqDbJqMcc,2025-06-06T06:51:17.122Z,none,none,False,none
1:GT76GXYVgIg4twXTOLUOwL47oQw=,S0,7.867813110351562E-6,D,143.88.4.12,55378,1.1.1.1,53,false,false,0,106,162,2,udp,0,0,0,dns,1.749190585058473E9,Cic9qfKsbGDkwoJ79,2025-06-06T06:16:25.058Z,none,none,False,none
1:Q/BJ2dwdsUCSilbXgf89H+P5xWI=,S0,1.5020370483398438E-5,D,143.88.0.22,46217,143.88.255.10,53,false,false,0,72,128,2,udp,0,0,0,dns,1.749192268592022E9,C53NvV3okkT7PqjZXa,2025-06-06T06:44:28.592Z,none,none,False,none
1:AKkZZ4+ijVLUtMeO9TOsu6faLAw=,S0,7.035917043685913,D,143.88.0.2,31957,143.88.255.10,53,false,false,0,172,284,4,udp,0,0,0,dns,1.749192994108373E9,CdZVxu2H4ytHGVlUrd,2025-06-06T06:56:34.108Z,none,none,False,none
1:BkCKUhxawfmwIn3xDcsS9r2q4wY=,S0,1.811981201171875E-5,D,143.88.0.14,14637,1.1.1.1,53,false,false,0,76,132,2,udp,0,0,0,dns,1.7491926420679E9,CNNpof2vxxL95QSAEf,2025-06-06T06:50:42.067Z,none,none,False,none
1:UatECEjBDrT/jwO4NEQl7pN71Oo=,S0,8.821487426757812E-6,D,143.88.4.12,53288,8.8.8.8,53,false,false,0,76,132,2,udp,0,0,0,dns,1.749192611817202E9,CDFiNNdjbmu95o45l,2025-06-06T06:50:11.817Z,none,none,False,none
1:lxsL0BFdPBXabPyV/RPezrwg41Y=,S0,8.04927396774292,D,143.88.6.10,53984,143.88.255.10,53,false,false,0,215,355,5,udp,0,0,0,dns,1.749193178016109E9,CxpRx83XiScKNe2fAa,2025-06-06T06:59:38.016Z,none,none,False,none
1:WMAGfqli8Jgri40gujnHOOcjykY=,S0,4.0531158447265625E-6,D,143.88.0.14,37441,1.1.1.1,53,false,false,0,106,162,2,udp,0,0,0,dns,1.74919185557753E9,CQbNOX3ybzfjGSZxT1,2025-06-06T06:37:35.577Z,none,none,False,none
1:5+uIWmESeZi/TCCPTmIZH8LdoYY=,S0,1.2874603271484375E-5,D,143.88.0.26,43324,143.88.255.10,53,false,false,0,106,162,2,udp,0,0,0,dns,1.749192587264928E9,CqF3gC40GVGOMBWHjh,2025-06-06T06:49:47.264Z,none,none,False,none
1:e2X9+FpYnxlEiAHbfWnrjOpJglE=,S0,5.0067901611328125E-6,D,143.88.5.13,56847,8.8.8.8,53,false,false,0,76,132,2,udp,0,0,0,dns,1.749193128166407E9,CFBHuz24EEZpYEehU3,2025-06-06T06:58:48.166Z,none,none,False,none
