community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:0nlLKkU87DtZEv5+1JTeEs8lCr4=,S0,,S,143.88.7.13,63174,143.88.7.1,625,false,false,0,,44,1,tcp,,0,0,,1.751489143786028E9,CRG16t1S1dBmo91jCb,2025-07-02T20:45:43.786Z,Discovery,T1046,True,none
1:P3Q9xQjPZDXG24YYwjDGXSwVHoM=,RSTRH,,^r,143.88.7.13,63172,143.88.7.12,631,false,false,0,,0,0,tcp,,40,1,,1.751489138674471E9,CfpIxw4MgfSK8gasIk,2025-07-02T20:45:38.674Z,Discovery,T1046,True,none
1:1gh8YdZb+MmGWuzE+le7hsUQjwE=,RSTO,5.280971527099609E-4,ShR,143.88.7.13,44279,143.88.7.1,53,false,false,0,0,100,2,tcp,0,60,1,,1.751489311058513E9,CtR7bN9Ska1SnW5d6,2025-07-02T20:48:31.058Z,Discovery,T1046,True,none
1:l8oLdeLIsujiKrCK9eIBlHfGkKc=,S0,,S,143.88.7.13,63172,143.88.7.1,22,false,false,0,,44,1,tcp,,0,0,,1.751489138616241E9,CUV7aA2uN0nkMmMBFd,2025-07-02T20:45:38.616Z,Discovery,T1046,True,none
1:dTehjQHRLhSeqF5qblBkPACT4DM=,RSTR,6.033560037612915,ShADdFar,143.88.7.13,59354,143.88.7.10,445,false,false,0,168,436,5,tcp,133,337,4,,1.751489148802753E9,Cwp8tv2q1sN4dQBi61,2025-07-02T20:45:48.802Z,Discovery,T1046,True,none
1:mnomiGEU7b0ylfs9grtY891dY3M=,S0,,S,143.88.7.13,63174,143.88.7.11,113,false,false,0,,44,1,tcp,,0,0,,1.751489139703997E9,C7T5jj4OPtxnLweaid,2025-07-02T20:45:39.703Z,Discovery,T1046,True,none
1:mf2mZr3EYRJRCawl9R/NavxRvUI=,S0,,S,143.88.7.13,63174,143.88.7.11,212,false,false,0,,44,1,tcp,,0,0,,1.75148914757211E9,CQgJB29p2Ztqv7eib,2025-07-02T20:45:47.572Z,Discovery,T1046,True,none
1:g7UuKVHvNVvh4xddaoxTBxZI5Tw=,S0,,S,143.88.7.13,63174,143.88.7.11,30,false,false,0,,44,1,tcp,,0,0,,1.751489143356029E9,CXb80I1zjrxBlMZgu5,2025-07-02T20:45:43.356Z,Discovery,T1046,True,none
1:5kJUq4AFudO/atKbaQLXBpAZSE8=,S0,,S,143.88.7.13,63174,143.88.7.11,301,false,false,0,,44,1,tcp,,0,0,,1.751489146788572E9,CsPnUc4yiWiWnQwRr2,2025-07-02T20:45:46.788Z,Discovery,T1046,True,none
1:y8k/ZAxhkE10Et4tFNdbfQYAH84=,S0,,S,143.88.7.13,63172,143.88.7.1,1,false,false,0,,44,1,tcp,,0,0,,1.751489143825935E9,C6VUTr1WDuTjcJWYj5,2025-07-02T20:45:43.825Z,Discovery,T1046,True,none
1:f5rAEvf8NGYE1StTxG5D/CQEEyg=,S0,,S,143.88.7.13,63172,143.88.7.11,587,false,false,0,,44,1,tcp,,0,0,,1.751489138610513E9,C8VKQZxZM48FGX6o6,2025-07-02T20:45:38.610Z,Discovery,T1046,True,none
1:vpyMcPeM1bDDW+Vp0XA+rPlPANM=,REJ,1.7786026000976562E-4,Sr,143.88.7.13,63172,143.88.7.12,616,false,false,0,0,44,1,tcp,0,40,1,,1.751489138735124E9,CYnPeZ1fMpPhsMRR5a,2025-07-02T20:45:38.735Z,Discovery,T1046,True,none
1:LK0YchzA0mWpjc6faRsGOIoliUY=,S0,,S,143.88.7.13,63172,143.88.7.1,425,false,false,0,,44,1,tcp,,0,0,,1.751489145484469E9,Cn0ynF10uWGhOvYq65,2025-07-02T20:45:45.484Z,Discovery,T1046,True,none
1:zJRq0G0oSWeFp+Ywx+fKUJ8swGk=,S0,,S,143.88.7.13,63174,143.88.7.1,9,false,false,0,,44,1,tcp,,0,0,,1.751489143572934E9,Cpu4pk5koTIgbfpOb,2025-07-02T20:45:43.572Z,Discovery,T1046,True,none
1:25uFoGwUXXK3QLoxNQkrCQFrAQ0=,REJ,2.028942108154297E-4,Sr,143.88.7.13,63172,143.88.7.12,259,false,false,0,0,44,1,tcp,0,40,1,,1.75148913870542E9,CuJxEA2UZrPqICeTQe,2025-07-02T20:45:38.705Z,Discovery,T1046,True,none
1:yDQJwFCUfdhzjS4ve357kU4mMGY=,S0,,S,143.88.7.13,63174,143.88.7.11,995,false,false,0,,44,1,tcp,,0,0,,1.751489139703967E9,C8pZ442mmr6Wz0pYJc,2025-07-02T20:45:39.703Z,Discovery,T1046,True,none
1:XbXDXODUzw9KN8E0hzSqDzKHiW0=,REJ,1.0704994201660156E-4,Sr,143.88.7.13,63172,143.88.7.10,497,false,false,0,0,44,1,tcp,0,40,1,,1.751489139798316E9,CyNCjb2vAlHnFXVz8l,2025-07-02T20:45:39.798Z,Discovery,T1046,True,none
1:G9XrVLMfeuVf2lDaD4XAPwJo4sM=,S0,,S,143.88.7.13,63172,143.88.7.1,264,false,false,0,,44,1,tcp,,0,0,,1.751489143843212E9,CcvNQhi8TfhL4eTHc,2025-07-02T20:45:43.843Z,Discovery,T1046,True,none
1:atvWTuluIACCkEd0nWBQHADO1wE=,REJ,1.1610984802246094E-4,Sr,143.88.7.13,63172,143.88.7.12,987,false,false,0,0,44,1,tcp,0,40,1,,1.751489138659626E9,CtSsWj1hmDzZqqNkjd,2025-07-02T20:45:38.659Z,Discovery,T1046,True,none
1:1PGuhP5yZZH97cGaHpdBA10Rq9U=,S0,,S,143.88.7.13,63172,143.88.7.1,25,false,false,0,,44,1,tcp,,0,0,,1.751489139807798E9,CcU3lz2Q7VU6Strwk5,2025-07-02T20:45:39.807Z,Discovery,T1046,True,none
1:S2mYlY7vJQwt2XnSFIBejPDjz28=,S0,,S,143.88.7.13,63172,143.88.7.1,705,false,false,0,,44,1,tcp,,0,0,,1.75148914362521E9,CTvAia2GuqpwafSAe,2025-07-02T20:45:43.625Z,Discovery,T1046,True,none
1:qXTDXDGanxi9Krl9BJOVjn+OnGo=,S0,,S,143.88.7.13,63174,143.88.7.1,898,false,false,0,,44,1,tcp,,0,0,,1.751489148374282E9,CtcPGq5IzUas5xmq2,2025-07-02T20:45:48.374Z,Discovery,T1046,True,none
1:LwUUTZiVHH03rQsmit+KzLbeAuA=,S0,,S,143.88.7.13,63174,143.88.7.1,458,false,false,0,,44,1,tcp,,0,0,,1.75148914613946E9,CjCvKD45VmULKDsq6e,2025-07-02T20:45:46.139Z,Discovery,T1046,True,none
1:POqAfVRAciYjkSmSZyUwB6xQYsw=,REJ,1.1396408081054688E-4,Sr,143.88.7.13,63172,143.88.7.10,726,false,false,0,0,44,1,tcp,0,40,1,,1.751489138677928E9,CgiJsG3MV1UN983XOg,2025-07-02T20:45:38.677Z,Discovery,T1046,True,none
1:PVFP8+3PGCSx3T3d6im0a7tusgw=,REJ,6.413459777832031E-5,Sr,143.88.7.13,63172,143.88.7.10,700,false,false,0,0,44,1,tcp,0,40,1,,1.751489138644955E9,CfmPM93g1DH8R0PLp7,2025-07-02T20:45:38.644Z,Discovery,T1046,True,none
1:WO5vUGid8IiYpL2XnTXNyz9Or6E=,REJ,3.409385681152344E-5,Sr,143.88.7.13,63172,143.88.7.10,783,false,false,0,0,44,1,tcp,0,40,1,,1.75148913866269E9,COtVDp21vtRspXPzTb,2025-07-02T20:45:38.662Z,Discovery,T1046,True,none
1:RxVsr5qJ8Gk9wscuH/5cMpGdego=,REJ,8.296966552734375E-5,Sr,143.88.7.13,63172,143.88.7.12,13,false,false,0,0,44,1,tcp,0,40,1,,1.751489138628351E9,C8Gy1K2GQPdxulU0Qf,2025-07-02T20:45:38.628Z,Discovery,T1046,True,none
1:4AUfobJWE+kyqb+nzbQ2BCqkc0g=,S0,,S,143.88.7.13,63172,143.88.7.12,705,false,false,0,,44,1,tcp,,0,0,,1.751489138696432E9,C5Egac2iyTJCzYygq7,2025-07-02T20:45:38.696Z,Discovery,T1046,True,none
1:oV4IbnAoMgcxEMZtf1QzMJdeNNg=,S0,,S,143.88.7.13,63172,143.88.7.1,631,false,false,0,,44,1,tcp,,0,0,,1.751489142652579E9,CCHmYK3PuHVQqmSq1a,2025-07-02T20:45:42.652Z,Discovery,T1046,True,none
1:Yh9ihucwLCPDWYpr0UYDzz6MsYI=,S0,,S,143.88.7.13,63172,143.88.7.1,280,false,false,0,,44,1,tcp,,0,0,,1.751489144287603E9,CLorpj2t9HPWv6vV39,2025-07-02T20:45:44.287Z,Discovery,T1046,True,none
1:9rcfkMmBe29jf1j3ve0Qb2IzULk=,REJ,1.3399124145507812E-4,Sr,143.88.7.13,63172,143.88.7.10,417,false,false,0,0,44,1,tcp,0,40,1,,1.75148913869021E9,COJJoi3gJ5GtgeTuOf,2025-07-02T20:45:38.690Z,Discovery,T1046,True,none
1:n1/8ZP6fmdq+x94zS1nLLXl9sRA=,S0,,S,143.88.7.13,63172,143.88.7.11,13,false,false,0,,44,1,tcp,,0,0,,1.751489140208721E9,CqZ5TW2OpEm4wvk8rd,2025-07-02T20:45:40.208Z,Discovery,T1046,True,none
1:oLNN2BudcR/Rfht6eNlNMYY1qec=,REJ,7.319450378417969E-5,Sr,143.88.7.13,63172,143.88.7.12,80,false,false,0,0,44,1,tcp,0,40,1,,1.751489138621688E9,CDV9sa1x0URedWWPsf,2025-07-02T20:45:38.621Z,Discovery,T1046,True,none
1:MX22ib9wbLw5Y35opqqEwNaJRYA=,S0,,S,143.88.7.13,63172,143.88.7.11,543,false,false,0,,44,1,tcp,,0,0,,1.751489148039525E9,CI1Zo3WyqUr9PDhS1,2025-07-02T20:45:48.039Z,Discovery,T1046,True,none
1:DIleixgmLvyMYMSuzgjt98vdvP4=,REJ,2.4390220642089844E-4,Sr,143.88.7.13,63172,143.88.7.10,70,false,false,0,0,44,1,tcp,0,40,1,,1.751489139748482E9,CNWq6p3H1sxis650mk,2025-07-02T20:45:39.748Z,Discovery,T1046,True,none
1:m23j5JGKSh4jt/ZdnKhd474sh80=,REJ,9.083747863769531E-5,Sr,143.88.7.13,63172,143.88.7.10,25,false,false,0,0,44,1,tcp,0,40,1,,1.751489138621817E9,CkbwwG4fAJtFlJGlgd,2025-07-02T20:45:38.621Z,Discovery,T1046,True,none
1:6liIqMQXVgEvxT8VqpPgY68P9M0=,REJ,1.0800361633300781E-4,Sr,143.88.7.13,63172,143.88.7.12,33,false,false,0,0,44,1,tcp,0,40,1,,1.751489138719059E9,CDqZI8UPdkOKPYXvh,2025-07-02T20:45:38.719Z,Discovery,T1046,True,none
1:JJ1bi43/yomsddO13EQhIZ6Y6p8=,S0,,S,143.88.7.13,63174,143.88.7.11,902,false,false,0,,44,1,tcp,,0,0,,1.751489141347009E9,CSGTHOn5sxfsVYX4g,2025-07-02T20:45:41.347Z,Discovery,T1046,True,none
1:59eZD+nK4a5ylIwmHmD+zq4npMI=,S0,,S,143.88.7.13,63174,143.88.7.11,9,false,false,0,,44,1,tcp,,0,0,,1.751489143549599E9,Cavg9N1ZTQXYA23wxg,2025-07-02T20:45:43.549Z,Discovery,T1046,True,none
1:ZhBDi0ZcOLxp9yQAy9LzD/JeTRk=,S0,,S,143.88.7.13,63174,143.88.7.11,111,false,false,0,,44,1,tcp,,0,0,,1.751489139904876E9,CThSJN1bWGzu9MkcLg,2025-07-02T20:45:39.904Z,Discovery,T1046,True,none
1:93H6gPNfCJmLsBD8kcbSm4wpWQU=,S0,,S,143.88.7.13,63172,143.88.7.1,301,false,false,0,,44,1,tcp,,0,0,,1.751489146765358E9,CeAuQX1Tf64p0WvVU6,2025-07-02T20:45:46.765Z,Discovery,T1046,True,none
1:l+Pqe45HyAIT6EaPO7hNCcD3nDY=,REJ,8.702278137207031E-5,Sr,143.88.7.13,63172,143.88.7.12,301,false,false,0,0,44,1,tcp,0,40,1,,1.751489138726004E9,CEjlET2tIZY98Zx20l,2025-07-02T20:45:38.726Z,Discovery,T1046,True,none
1:yDnnCebT+eTmo9wRIJwhOCL1G7I=,S0,,S,143.88.7.13,63172,143.88.7.1,32,false,false,0,,44,1,tcp,,0,0,,1.751489141823511E9,CxgpZa20IStruXAyyc,2025-07-02T20:45:41.823Z,Discovery,T1046,True,none
1:2Y4hkBTjA8HO6Zf0me7FOxYXVa4=,RSTO,0.0010139942169189453,ShR,143.88.7.13,63172,143.88.7.11,631,false,false,0,0,84,2,tcp,0,44,1,,1.751489142628449E9,CVnljO33uo7kNjV5Yf,2025-07-02T20:45:42.628Z,Discovery,T1046,True,none
1:7p2boKCimLfTDNf+n6LG1w32xgM=,S0,,S,143.88.7.13,63172,143.88.7.1,83,false,false,0,,44,1,tcp,,0,0,,1.75148914143381E9,CDAc8VXf0jWaG6zi8,2025-07-02T20:45:41.433Z,Discovery,T1046,True,none
1:MSFZRW04N/cobYm5YaPav0AI37A=,REJ,5.629062652587891E-4,Sr,143.88.7.13,63172,143.88.7.12,722,false,false,0,0,44,1,tcp,0,40,1,,1.751489138715856E9,CeZom51POb2BNiwZI5,2025-07-02T20:45:38.715Z,Discovery,T1046,True,none
1:tMgJOhraWyqx/4ZgDo8c0aIhay8=,S0,,S,143.88.7.13,63172,143.88.7.1,222,false,false,0,,44,1,tcp,,0,0,,1.751489147273601E9,CgWEbB4NluME7PY2ij,2025-07-02T20:45:47.273Z,Discovery,T1046,True,none
1:XGBGANAyURiHrXi+o7I3JjzSmCQ=,RSTO,7.038116455078125E-4,ShR,143.88.7.13,63179,143.88.7.1,443,false,false,0,0,84,2,tcp,0,44,1,,1.751489142363114E9,C9NZ0j4R7b9c6t8H4g,2025-07-02T20:45:42.363Z,Discovery,T1046,True,none
1:nMHDZgfr6ZrM0KU1y65HNCuhAkQ=,SH,,Q,143.88.7.13,44294,143.88.7.11,21,false,false,0,,60,1,tcp,,0,0,,1.751489314434542E9,Cc2s42lzEKFndkpl1,2025-07-02T20:48:34.434Z,Discovery,T1046,True,none
1:BB64qz6E7cNXyRNbfyXOGjTEkmc=,S0,,S,143.88.7.13,63172,143.88.7.1,902,false,false,0,,44,1,tcp,,0,0,,1.751489141244683E9,C8JZE81xNoTtkUOGy8,2025-07-02T20:45:41.244Z,Discovery,T1046,True,none
1:4UKWb2AVvL+oRi52kqUw/wfa1FI=,SF,0.020207881927490234,ShAdFf,143.88.7.13,55218,143.88.7.11,22,false,false,0,0,268,5,tcp,44,208,3,,1.751489148838937E9,CKWQIf25SCtazN5U4f,2025-07-02T20:45:48.838Z,Discovery,T1046,True,none
1:LXLnxF2sFceujo72L60ePcEPYzM=,REJ,8.58306884765625E-5,Sr,143.88.7.13,63172,143.88.7.10,691,false,false,0,0,44,1,tcp,0,40,1,,1.751489138641621E9,CeqJ7uDsdZAhndrol,2025-07-02T20:45:38.641Z,Discovery,T1046,True,none
1:1vpkYEFEjUja6Q39owSKLQ95d/A=,S0,,S,143.88.2.14,33812,143.88.2.13,995,false,false,0,,60,1,tcp,,0,0,,1.750114919931511E9,C4d6PE4BG4jW3lSH7j,2025-06-16T23:01:59.931Z,Discovery,T1016,True,none
1:Z+na1ysbgeBKKnfrIjII8NxPzd8=,RSTO,7.071495056152344E-4,ShAR,143.88.2.14,35766,143.88.2.12,135,false,false,0,0,164,3,tcp,0,60,1,,1.750114918832357E9,CgMhM12nUsHkxx1k3i,2025-06-16T23:01:58.832Z,Discovery,T1016,True,none
1:dtK2VOfnfDdA+oH4cI+C8MFvGsw=,RSTO,3.199577331542969E-4,ShAR,143.88.2.14,55548,143.88.2.13,21,false,false,0,0,164,3,tcp,0,60,1,,1.750114918830573E9,CF54hz2QrzrhLSe3D6,2025-06-16T23:01:58.830Z,Discovery,T1016,True,none
1:VhJY7KGsNts+Z/3/Bag/5e+tc00=,REJ,3.886222839355469E-5,Sr,143.88.2.14,42982,143.88.2.12,389,false,false,0,0,60,1,tcp,0,40,1,,1.75011491893489E9,CwJ1mVd9FEleKcWHe,2025-06-16T23:01:58.934Z,Discovery,T1016,True,none
