community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:kiSdLuZRl0jB3WCRdz1nZdrqDfY=,RSTR,0.022469043731689453,ShADaFr,143.88.3.10,43501,143.88.3.11,445,false,false,0,4205,4577,7,tcp,0,204,4,smb,1.753285904979011E9,CUjcDk4K0PVaYKoey1,2025-07-23T15:51:44.979Z,Lateral Movement,T1210,True,none
1:5kDE/K3NemvK9B4kjbnpQJrvS9Y=,RSTR,0.021069049835205078,SAhDaGFr,143.88.5.10,40895,143.88.5.11,445,false,false,2896,4205,4577,7,tcp,0,204,4,,1.753223380294687E9,CoP8Xk37pQLG6jM587,2025-07-22T22:29:40.294Z,Lateral Movement,T1210,True,none
1:ePz4azyS7qL4pTyddSdWlVOZJIM=,RSTR,0.022294044494628906,ShADaGFr,143.88.5.10,39165,143.88.5.11,445,false,false,2896,4205,4577,7,tcp,0,204,4,,1.753224817228282E9,CYCCiK20MFjfUYe7F8,2025-07-22T22:53:37.228Z,Lateral Movement,T1210,True,none
1:JIu1CnS/Z+8XC6yrGEAFwiSoKQo=,RSTR,0.02472686767578125,ShADaFr,143.88.5.10,33951,143.88.5.11,445,false,false,0,4205,4577,7,tcp,0,204,4,smb,1.753224863394006E9,CeTTao3ZAFcNrl12He,2025-07-22T22:54:23.394Z,Lateral Movement,T1210,True,none
1:852Zg8KynXaFeDV36CjBHh5fpKU=,RSTR,0.015696048736572266,ShADaGFr,143.88.5.10,40009,143.88.5.11,445,false,false,2896,4205,4577,7,tcp,0,204,4,,1.753223334107842E9,CSzSh4xBjoincX5lf,2025-07-22T22:28:54.107Z,Lateral Movement,T1210,True,none
1:wOkQtHrkQm+i4+U7InZtxk/bKyg=,RSTR,0.018906116485595703,^hSADaFr,143.88.5.10,44263,143.88.5.11,445,false,false,0,4205,4577,7,tcp,0,204,4,smb,1.753223426468838E9,CNNw3Y2csTvoc2Fet5,2025-07-22T22:30:26.468Z,Lateral Movement,T1210,True,none
1:4sqE8V9BvmmNE+H6hbl7as1K6IQ=,RSTR,0.007487058639526367,ShADaGFr,143.88.2.14,35235,143.88.2.12,445,false,false,2896,4205,4577,7,tcp,0,204,4,,1.753464069133774E9,Ch1mKU1g34u7ZkSk3,2025-07-25T17:21:09.133Z,Lateral Movement,T1210,True,none
1:sLrULFADI3OGxpuw9VNNAQdTMSI=,RSTR,0.037093162536621094,ShADdFar,143.88.5.13,43385,143.88.5.11,445,false,false,0,136,456,6,tcp,274,530,5,"smb,gssapi",1.753468903006888E9,CDvZYe4b4nllPvF5wb,2025-07-25T18:41:43.006Z,Lateral Movement,T1210,True,none
1:FpUZPyBuOypVOsDSXE6dtPnHZGU=,RSTR,0.005920886993408203,SAhDaFr,143.88.5.10,41473,143.88.5.11,445,false,false,0,4205,4577,7,tcp,0,204,4,smb,1.75322481724511E9,C1fByKxeP0WlVuT,2025-07-22T22:53:37.245Z,Lateral Movement,T1210,True,none
1:p693Y7kuj2lGzBZBPC66VgYmEnA=,RSTR,0.008125066757202148,ShADaFr,143.88.5.10,41479,143.88.5.11,445,false,false,0,4205,4577,7,tcp,0,204,4,smb,1.753224863411169E9,C15Oc93mplYvTuA31f,2025-07-22T22:54:23.411Z,Lateral Movement,T1210,True,none
