community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:qyqP9gJbI3DPg3iBInFI0tq3bTg=,REJ,6.604194641113281E-5,Sr,143.88.5.13,55080,143.88.5.10,212,false,false,0,0,60,1,tcp,0,40,1,,1.750461784795516E9,CGjXje1E0s7M87IB69,2025-06-20T23:23:04.795Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:l6C7rnD1+PVtUx/F91vDykSSvZQ=,SF,0.17421317100524902,ShADadfF,143.88.5.13,46274,143.88.5.12,80,false,false,0,173,493,6,tcp,477,745,5,http,1.750462139276116E9,CHziKz4RUNB41dn3ok,2025-06-20T23:28:59.276Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:Vpv1Fwez7EUG9eBZwwRKBwWljzA=,S0,,S,143.88.2.10,8888,143.88.2.13,88,false,false,0,,44,1,tcp,,0,0,,1.750453645684793E9,CRaP2ojIvbIQDsSgb,2025-06-20T21:07:25.684Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:KtqYp8/4tro2egIr9oPP1qIX7+c=,S0,,S,143.88.5.13,48192,143.88.5.12,25,false,false,0,,60,1,tcp,,0,0,,1.750461785844808E9,Cjq0Kw4l7yvoXHQJI5,2025-06-20T23:23:05.844Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:36uYLHBXZ583KTU9/qODItQWzoI=,S0,,S,143.88.2.10,32808,143.88.2.14,366,false,false,0,,60,1,tcp,,0,0,,1.750460674069868E9,C2vapx2EAHpfELknW7,2025-06-20T23:04:34.069Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:lTma+jmHWPiH+ErB1rNP2dBdggk=,SF,0.27886104583740234,ShAaGDdfFr,143.88.5.13,59146,143.88.5.1,443,false,false,696,800,1484,13,tcp,2188,2848,13,,1.750462136572275E9,C4G62O1rFNpb3c3lWc,2025-06-20T23:28:56.572Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:w/AaenahW2yinNj+R8+3Rc5eWJM=,SF,0.1719510555267334,ShADadfF,143.88.2.10,37412,143.88.2.13,631,false,false,0,619,939,6,tcp,570,838,5,http,1.75045380696042E9,CpdrHepbciGWGXMui,2025-06-20T21:10:06.960Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:bG3SxUNuJ3zF0knCzNCAf2Fq43s=,S0,,S,143.88.2.10,55158,143.88.2.1,113,false,false,0,,60,1,tcp,,0,0,,1.750449889208149E9,CWGKqoXPG5w43NlOg,2025-06-20T20:04:49.208Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:+/IaDpkGQIGoDXfGfhu18ZsHKa4=,S0,,S,143.88.5.13,35816,143.88.5.12,800,false,false,0,,60,1,tcp,,0,0,,1.750461789963902E9,ChVrn84z9QEUO4okja,2025-06-20T23:23:09.963Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:hbUwnTjLSIXzOHcP8Ml31EtH7BM=,S0,,S,143.88.5.13,59872,143.88.5.1,146,false,false,0,,60,1,tcp,,0,0,,1.750461969590796E9,CrBw8T3gxwXN6WO103,2025-06-20T23:26:09.590Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:jU6jBejI0EaUtL0KD2BfxVs0Tjw=,RSTO,7.829666137695312E-4,ShR,143.88.5.13,54027,143.88.5.12,21,false,false,0,0,92,2,tcp,0,52,1,,1.750462135662223E9,CIb8Xv3cN0qA8D5s7c,2025-06-20T23:28:55.662Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:0h9CwNuhxlqyRixWvgFkYuPqsb8=,REJ,6.890296936035156E-5,Sr,143.88.5.13,44840,143.88.5.11,19,false,false,0,0,60,1,tcp,0,40,1,,1.750461784792287E9,CanxqdedKC1QV9aqh,2025-06-20T23:23:04.792Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:P4diOKYCee6o2Im9RnsnHJAR2T8=,REJ,4.1961669921875E-5,Sr,143.88.5.13,53930,143.88.5.10,515,false,false,0,0,60,1,tcp,0,40,1,,1.75046195664861E9,CmizFk4LFLOgPH2I1,2025-06-20T23:25:56.648Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:4SbU9txlf8raB+YpbC+5GQkUdR0=,SF,0.16949200630187988,ShADadfF,143.88.2.10,42438,143.88.2.1,443,false,false,0,1439,2435,19,tcp,11254,12250,19,ssl,1.750449909238348E9,CvFwXAxJVsVMrxgLf,2025-06-20T20:05:09.238Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:mq1LiwKD/mZgaNvjC4WACAhcFeQ=,REJ,5.888938903808594E-5,Sr,143.88.2.10,54048,143.88.2.14,417,false,false,0,0,60,1,tcp,0,40,1,,1.750460674071541E9,CyWJ0r2I6jp41nsChk,2025-06-20T23:04:34.071Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:u7WN/4pqwt7+oMzOl/GJcqWrjTk=,REJ,5.316734313964844E-5,Sr,143.88.5.13,47390,143.88.5.11,406,false,false,0,0,60,1,tcp,0,40,1,,1.750461787558714E9,Ci24sq3IpARJkayutj,2025-06-20T23:23:07.558Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:jJ52qkllNbkW4+Q6pYhFZZUE6Lg=,REJ,2.6941299438476562E-5,Sr,143.88.2.10,48886,143.88.2.14,631,false,false,0,0,60,1,tcp,0,40,1,,1.750460674081036E9,Ck7Y0C1cTRrcT87pgh,2025-06-20T23:04:34.081Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:Qqqt99g2bLD7/PLw0ayp/BrYv8o=,SF,0.16959095001220703,ShADadfF,143.88.2.10,49188,143.88.2.13,80,false,false,0,307,627,6,tcp,453,721,5,http,1.75045380724445E9,CcqZzX1uBi7loNSizc,2025-06-20T21:10:07.244Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:e5FQPf6SS2NMgMRZEhRv0h/xAgs=,SF,0.21704387664794922,ShADadfF,143.88.5.13,38520,143.88.5.1,80,false,false,0,209,529,6,tcp,373,641,5,http,1.750462136847541E9,CmOlwP2YzJBQePzkla,2025-06-20T23:28:56.847Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:mV8ikUe/11O/ts+Ev7suyOln9qY=,REJ,1.5997886657714844E-4,Sr,143.88.2.10,8888,143.88.2.14,464,false,false,0,0,44,1,tcp,0,40,1,,1.750454466006628E9,CqOgYL8MhUQ5RiARf,2025-06-20T21:21:06.006Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:1gqA+d6rwBfDsJr16PEc3ZIPZNg=,S0,,S,143.88.5.13,47890,143.88.5.12,144,false,false,0,,60,1,tcp,,0,0,,1.750461794955255E9,CTsuvHl3fZFrxtrtl,2025-06-20T23:23:14.955Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:lQF6yIGrKXWmHVmfF/DD6y0+lKU=,REJ,1.7881393432617188E-5,Sr,143.88.5.13,34616,143.88.5.11,497,false,false,0,0,60,1,tcp,0,40,1,,1.750461788348611E9,C7hctw4Jq6znCQvcl3,2025-06-20T23:23:08.348Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:aEKMwpW8ZJAtMXF1rL0zgW0ZsRg=,S0,,S,143.88.5.13,36848,143.88.5.12,691,false,false,0,,60,1,tcp,,0,0,,1.750461968286381E9,CWNQTB33CIcGMTMJt5,2025-06-20T23:26:08.286Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:Bg9TsgyNwpKMaAARI3tJRQVTkYw=,S0,,S,143.88.5.13,39900,143.88.5.1,514,false,false,0,,60,1,tcp,,0,0,,1.750461961478236E9,CwMWiT1hhHSffbJFBi,2025-06-20T23:26:01.478Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:IYIWGxL71rDLDTTGUGxyarWiwZo=,S0,,S,143.88.2.10,49014,143.88.2.1,340,false,false,0,,60,1,tcp,,0,0,,1.750449892228503E9,C2yo7q3tT9BpXXIMf5,2025-06-20T20:04:52.228Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:ZGUxniGEYukPOJZ+UYuZOIrXFtQ=,RSTO,5.528926849365234E-4,ShAR,143.88.5.13,35166,143.88.5.1,53,false,false,0,0,164,3,tcp,0,60,1,,1.75046195776814E9,CLe6ke1zgbYY0tYhbf,2025-06-20T23:25:57.768Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:Daqlq0utEJANiCUe5LKMlU7job0=,S0,,S,143.88.5.13,41800,143.88.5.1,89,false,false,0,,60,1,tcp,,0,0,,1.750461787647271E9,CfVO2t4CJikZf2v7gg,2025-06-20T23:23:07.647Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
1:eAghT08QlxJsyqOujxqeAIhxbQ0=,REJ,3.0040740966796875E-5,Sr,143.88.5.13,53060,143.88.5.11,280,false,false,0,0,60,1,tcp,0,40,1,,1.750461784824503E9,Cxjkad3fWygZAu8QYk,2025-06-20T23:23:04.824Z,Privilege Escalation,Duplicate,Duplicate,Duplicate
