community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:H9trxT5hN3MWcmzPZb7xsjqJbDU=,SF,9.028911590576172E-4,ShADadfF,143.88.7.13,32791,143.88.7.1,80,false,false,0,356,624,5,tcp,439,707,5,http,1.753205090031028E9,C0LwNP30lH7r3zDG7e,2025-07-22T17:24:50.031Z,Reconnaissance,T1595,True,none
1:gnrzFIP35k0eXTtqYaWJCZyUBUg=,SF,0.003503084182739258,ShADadfFR,143.88.7.13,57283,143.88.7.1,443,false,false,0,1044,1612,11,tcp,2253,2937,13,ssl,1.753204988328943E9,C0OFhn2soLM2H41y25,2025-07-22T17:23:08.328Z,Reconnaissance,T1595,True,none
1:Y2zGWZtmfqFptDRFaR/yOorjvHA=,SF,9.310245513916016E-4,SADhgadfF,143.88.7.13,40179,143.88.7.11,80,false,false,460,369,637,5,tcp,460,728,5,http,1.75325500273784E9,C3QQtD2WD8lDcHj4F7,2025-07-23T07:16:42.737Z,Reconnaissance,T1595,True,none
1:regCU1NpPtwuwvV78pRhqyo1cNQ=,SF,9.438991546630859E-4,ShADfFa,143.88.7.13,46965,143.88.7.10,80,false,false,0,339,555,4,tcp,489,653,3,http,1.753214073955985E9,C3cnx119hyGnPhkoxi,2025-07-22T19:54:33.955Z,Reconnaissance,T1595,True,none
1:b48gptFQQ8cSttUaHB9Ckk2lYpI=,SF,9.131431579589844E-4,ShADfFa,143.88.7.13,41441,143.88.7.10,80,false,false,0,426,642,4,tcp,503,667,3,http,1.753214109122217E9,C43kYcdddGnqUZpNd,2025-07-22T19:55:09.122Z,Reconnaissance,T1595,True,none
1:Ji2324SjI/6Nr55rOzJPN0fx7CY=,S2,52.37563490867615,SAhDTF,143.88.7.13,59929,143.88.7.11,631,false,false,0,517,6114,18,tcp,0,360,6,,1.753230409600646E9,C4vMrr4N63rA5ZHJrd,2025-07-23T00:26:49.600Z,Reconnaissance,T1595,True,none
1:+HwfNiFWVWcy7DxiTsaKFkC9/k8=,SF,0.0011391639709472656,ShADadfF,143.88.7.13,43061,143.88.7.11,80,false,false,0,361,629,5,tcp,483,751,5,http,1.753254965588487E9,C5MQTo3gazwXjHNC33,2025-07-23T07:16:05.588Z,Reconnaissance,T1595,True,none
1:RvqgZuNm6yPzM9O5qpMI4Row+OA=,SF,0.01199793815612793,ShADadFf,143.88.7.13,49781,143.88.7.11,80,false,false,0,304,624,6,tcp,498,714,4,http,1.753204949537283E9,C5RAXx2TH50jerLhj4,2025-07-22T17:22:29.537Z,Reconnaissance,T1595,True,none
1:YC2k0KVs8gJs4L7YRAltz+04xnQ=,SF,0.0025000572204589844,ShADadfFR,143.88.7.13,47531,143.88.7.1,443,false,false,0,1017,1637,12,tcp,2247,2931,13,ssl,1.75320502442759E9,C5aXLm1KEIADMgFx8f,2025-07-22T17:23:44.427Z,Reconnaissance,T1595,True,none
1:N44TfRNiXfnFJcGpnP2szeBcSbE=,SF,9.49859619140625E-4,ShADfFa,143.88.7.13,48001,143.88.7.10,80,false,false,0,343,559,4,tcp,489,653,3,http,1.753214122104428E9,C5cwME1zgOIAwWLD1l,2025-07-22T19:55:22.104Z,Reconnaissance,T1595,True,none
